segment,recency,frequency,monetary,avg_order_value,tenure_days,basket_depth,discount_ratio,category_breadth,channel_diversity,n_customers,pct_customers,total_revenue,pct_revenue,churn_rate,top_category
0,94.50541125541126,19.43073593073593,21446.278376623377,1107.6462350724457,545.1515151515151,8.477076061355147,0.03955018579251134,12.8495670995671,2.4567099567099566,924,0.308,19816361.22,0.17630286503719944,0.4523809523809524,Personal Care
1,12.255006675567424,51.50066755674232,114840.74869158879,2029.4427283996115,578.5153538050735,12.312080410479103,0.0166007932570738,13.873164218958612,2.867823765020027,749,0.24966666666666668,86015720.77,0.7652675403739306,0.012016021361815754,Fresh Food
2,84.17083333333333,8.006944444444445,3868.5364583333335,488.45727783084885,418.75416666666666,5.1949172956398515,0.06890164469776448,8.493055555555555,1.8486111111111112,720,0.24,2785346.25,0.024780761641547206,0.2833333333333333,Pantry
3,44.034596375617795,6.0247116968698515,6230.829324546952,1059.278574019176,173.9489291598023,7.318267022653349,0.03138851405109012,9.397034596375617,1.6095551894563427,607,0.20233333333333334,3782113.4,0.03364883294732268,0.18451400329489293,Personal Care
