model,roc_auc,roc_auc_std,average_precision,average_precision_std,recall,recall_std,precision,precision_std,f1,f1_std,accuracy,accuracy_std,fit_time_sec
Gradient Boosting,0.9119291399828853,0.01281195435927414,0.7978652697711892,0.02863433943081636,0.6228315054835493,0.031087004853322508,0.7790905295323385,0.022227964977055488,0.6919154291677974,0.02462449181730707,0.8629166666666668,0.00962851667357613,1.5137314590101596
XGBoost,0.9095233534747876,0.01662892034058142,0.791364153442609,0.03355101878936488,0.7187864976499074,0.03648368980675586,0.7104531424372125,0.025189863787496217,0.7138051659935554,0.02043354354463626,0.8575000000000002,0.009912814377808611,0.29260279098525643
Extra Trees,0.9096204807450154,0.018848630073960777,0.7886998902403867,0.03575535531854638,0.5117789488676827,0.039449870989336715,0.8103893713751356,0.02149846600866717,0.6266778844807795,0.03358378218809959,0.8495833333333334,0.010155048005794943,1.2334474170056637
Random Forest,0.9090149450988294,0.01771479263318438,0.7878142273214557,0.039438519558830085,0.7187437686939182,0.07446136287200124,0.6821256335062786,0.044235047517502825,0.6982680387698281,0.04845300976764236,0.8470833333333333,0.02246138661990592,1.1807970000081696
Logistic Regression,0.8800918871459877,0.016948806227921845,0.735173037077361,0.023916488801234006,0.781142287423444,0.04117455653482427,0.5706494099779604,0.02756557868011865,0.658687444816881,0.023207926633289216,0.7995833333333333,0.016212563715286423,1.2010084170033224
AdaBoost,0.8805447886739858,0.020568604191066944,0.7168108861005026,0.05141894340012001,0.565645919384703,0.05442211705531616,0.7292349230768528,0.05019779797031723,0.6362062050104837,0.04840444285334983,0.8404166666666667,0.01912132317597292,0.30442516700713895
Neural Network (MLP),0.8695795193068635,0.011994508322804348,0.7116675710246391,0.03323175983183725,0.6161657883492381,0.014486341457424305,0.6518665767560656,0.028115717109390873,0.6334038964508056,0.02000655046652106,0.8233333333333335,0.011288514320120051,0.615271999995457
K-Nearest Neighbors,0.8737423008104246,0.021584643390262497,0.7070449596856424,0.026557457274904116,0.4378008830650904,0.028146013026162035,0.7838498121596713,0.033030297336687546,0.5613131219980868,0.02730638546422213,0.8308333333333333,0.009718253158075507,0.7801796249987092
Decision Tree,0.8313883026196397,0.03947145886348328,0.6017827885396573,0.06368642660996086,0.7456060390257798,0.08438874935850219,0.5547016559431842,0.04512218093707202,0.6325245171802024,0.039569373638704615,0.7858333333333334,0.02988403512840183,0.08301579099497758
